soil_id,treatment,diameter,cumdist
cedlbl,no-pretreatment,0.0356789,0.0593946
cedlbl,no-pretreatment,0.0365624,0.0610286
cedlbl,no-pretreatment,0.0374678,0.0626792
cedlbl,no-pretreatment,0.0383956,0.0643463
cedlbl,no-pretreatment,0.0393464,0.0660298
cedlbl,no-pretreatment,0.0403207,0.0677296
cedlbl,no-pretreatment,0.0413192,0.0694455
cedlbl,no-pretreatment,0.0423424,0.0711775
cedlbl,no-pretreatment,0.0433909,0.0729255
cedlbl,no-pretreatment,0.0444653,0.0746893
cedlbl,no-pretreatment,0.0455664,0.0764689
cedlbl,no-pretreatment,0.0466948,0.0782641
cedlbl,no-pretreatment,0.0478511,0.0800748
cedlbl,no-pretreatment,0.049036,0.081901
cedlbl,no-pretreatment,0.0502502,0.0837424
cedlbl,no-pretreatment,0.0514946,0.0855991
cedlbl,no-pretreatment,0.0527697,0.0874708
cedlbl,no-pretreatment,0.0540764,0.0893575
cedlbl,no-pretreatment,0.0554155,0.0912591
cedlbl,no-pretreatment,0.0567878,0.0931755
cedlbl,no-pretreatment,0.058194,0.0951065
cedlbl,no-pretreatment,0.059635,0.0970521
cedlbl,no-pretreatment,0.0611117,0.0990121
cedlbl,no-pretreatment,0.062625,0.100986
cedlbl,no-pretreatment,0.0641758,0.102975
cedlbl,no-pretreatment,0.065765,0.104978
cedlbl,no-pretreatment,0.0673935,0.106994
cedlbl,no-pretreatment,0.0690623,0.109025
cedlbl,no-pretreatment,0.0707725,0.111069
cedlbl,no-pretreatment,0.072525,0.113128
cedlbl,no-pretreatment,0.0743209,0.115199
cedlbl,no-pretreatment,0.0761613,0.117284
cedlbl,no-pretreatment,0.0780473,0.119383
cedlbl,no-pretreatment,0.0799799,0.121495
cedlbl,no-pretreatment,0.0819605,0.123619
cedlbl,no-pretreatment,0.08399,0.125757
cedlbl,no-pretreatment,0.0860698,0.127908
cedlbl,no-pretreatment,0.0882012,0.130072
cedlbl,no-pretreatment,0.0903853,0.132248
cedlbl,no-pretreatment,0.0926234,0.134437
cedlbl,no-pretreatment,0.094917,0.136639
cedlbl,no-pretreatment,0.0972674,0.138852
cedlbl,no-pretreatment,0.099676,0.141079
cedlbl,no-pretreatment,0.102144,0.143317
cedlbl,no-pretreatment,0.104674,0.145567
cedlbl,no-pretreatment,0.107266,0.147829
cedlbl,no-pretreatment,0.109922,0.150104
cedlbl,no-pretreatment,0.112644,0.152389
cedlbl,no-pretreatment,0.115433,0.154687
cedlbl,no-pretreatment,0.118292,0.156996
cedlbl,no-pretreatment,0.121221,0.159316
cedlbl,no-pretreatment,0.124223,0.16164799999999999
cedlbl,no-pretreatment,0.127299,0.163991
cedlbl,no-pretreatment,0.130451,0.166345
cedlbl,no-pretreatment,0.133681,0.16871
cedlbl,no-pretreatment,0.136992,0.171086
cedlbl,no-pretreatment,0.140384,0.173472
cedlbl,no-pretreatment,0.14386,0.17587
cedlbl,no-pretreatment,0.147422,0.178277
cedlbl,no-pretreatment,0.151073,0.180696
cedlbl,no-pretreatment,0.154814,0.183124
cedlbl,no-pretreatment,0.158648,0.185563
cedlbl,no-pretreatment,0.162576,0.188012
cedlbl,no-pretreatment,0.166602,0.190471
cedlbl,no-pretreatment,0.170728,0.192939
cedlbl,no-pretreatment,0.174955,0.195418
cedlbl,no-pretreatment,0.179288,0.197906
cedlbl,no-pretreatment,0.183727,0.200404
cedlbl,no-pretreatment,0.188277,0.202911
cedlbl,no-pretreatment,0.192939,0.205428
cedlbl,no-pretreatment,0.197717,0.207954
cedlbl,no-pretreatment,0.202613,0.210489
cedlbl,no-pretreatment,0.20763,0.213033
cedlbl,no-pretreatment,0.212771,0.215586
cedlbl,no-pretreatment,0.21804,0.218147
cedlbl,no-pretreatment,0.223439,0.220718
cedlbl,no-pretreatment,0.228972,0.223297
cedlbl,no-pretreatment,0.234642,0.225884
cedlbl,no-pretreatment,0.240453,0.22848
cedlbl,no-pretreatment,0.246407,0.231084
cedlbl,no-pretreatment,0.252509,0.233697
